type,a,b
DTP3,2015,95
DTP3,2014,95
DTP3,2013,94
DTP3,2012,94
DTP3,2011,96
DTP3,2010,95
DTP3,2009,95
DTP3,2008,96
DTP3,2007,96
DTP3,2006,96
DTP3,2005,96
DTP3,2004,96
DTP3,2003,96
DTP3,2002,94
DTP3,2001,94
DTP3,2000,94
DTP3,1999,96
DTP3,1998,96
DTP3,1997,96
DTP3,1996,95
DTP3,1995,95
DTP3,1994,94
DTP3,1993,88
DTP3,1992,83
DTP3,1991,69
DTP3,1988,97
DTP3,1987,97
DTP3,1986,97
DTP3,1985,96
DTP3,1984,97
DTP3,1983,97
DTP3,1982,96
DTP3,1981,96
DTP3,1980,96
BCG,2015,98
BCG,2014,98
BCG,2013,98
BCG,2012,97
BCG,2011,98
BCG,2010,98
BCG,2009,98
BCG,2008,99
BCG,2007,98
BCG,2006,99
BCG,2005,99
BCG,2004,99
BCG,2003,99
BCG,2002,97
BCG,2000,99
HepB3,2015,92
HepB3,2014,92
HepB3,2013,91
HepB3,2012,90
HepB3,2011,91
HepB3,2010,91
HepB3,2009,92
HepB3,2008,94
HepB3,2007,93
HepB3,2006,93
HepB3,2005,93
HepB3,2004,92
HepB3,2003,92
HepB3,2002,88
HepB3,2001,89
HepB3,2000,90
HepB3,1999,88
HepB3,1998,87
HepB3,1997,84
HepB3,1996,82
HepB3,1995,68
HepB3,1994,42
HepB3,1993,16
DTP1,2015,98
DTP1,2014,98
DTP1,2013,98
DTP1,2012,97
DTP1,2011,98
DTP1,2010,98
DTP1,2009,98
DTP1,2008,99
DTP1,2007,98
DTP1,2006,99
DTP1,2005,99
DTP1,2004,99
DTP1,2003,99
DTP1,2002,97
DTP1,2000,99
Hib3,2015,93
Hib3,2014,93
Hib3,2013,93
Hib3,2012,93
Hib3,2011,94
Hib3,2010,88
Hib3,2009,84
Hib3,2008,91
Hib3,2007,93
Hib3,2006,93
Hib3,2005,94
Hib3,2004,94
Hib3,2003,94
Hib3,2002,93
Hib3,2001,93
Hib3,2000,93
Hib3,1999,94
Hib3,1998,93
Hib3,1997,93
Hib3,1996,91
Hib3,1995,91
Pol3,2015,93
Pol3,2014,93
Pol3,2013,93
Pol3,2012,93
Pol3,2011,94
Pol3,2010,94
Pol3,2009,93
Pol3,2008,94
Pol3,2007,93
Pol3,2006,93
Pol3,2005,92
Pol3,2004,92
Pol3,2003,91
Pol3,2002,90
Pol3,2001,89
Pol3,2000,90
Pol3,1999,90
Pol3,1998,91
Pol3,1997,91
Pol3,1996,91
Pol3,1995,88
Pol3,1994,84
Pol3,1993,79
Pol3,1992,72
Pol3,1991,53
Pol3,1988,97
Pol3,1987,24
Pol3,1986,97
Pol3,1985,96
Pol3,1984,97
Pol3,1983,97
Pol3,1982,97
Pol3,1981,96
Pol3,1980,95
PCV3,2015,93
PCV3,2014,93
PCV3,2013,92
PCV3,2012,92
PCV3,2011,94
PCV3,2010,92
PCV3,2009,93
PCV3,2008,93
Rotac,2015,72
Rotac,2014,72
Rotac,2013,73
Rotac,2012,69
Rotac,2011,67
Rotac,2010,58
Rotac,2009,44
RCV1,2015,92
RCV1,2013,91
RCV1,2010,90
MCV1,2015,92
MCV1,2014,92
MCV1,2013,92
MCV1,2012,91
MCV1,2011,92
MCV1,2010,90
MCV1,2009,90
MCV1,2008,92
MCV1,2007,92
MCV1,2006,92
MCV1,2005,92
MCV1,2004,93
MCV1,2003,93
MCV1,2002,91
MCV1,2001,91
MCV1,2000,91
MCV1,1999,92
MCV1,1998,92
MCV1,1997,91
MCV1,1996,91
MCV1,1995,88
MCV1,1994,89
MCV1,1993,84
MCV1,1992,83
MCV1,1991,82
MCV1,1988,98
MCV1,1987,82
MCV1,1986,97
MCV1,1985,97
MCV1,1984,98
MCV1,1983,98
MCV1,1982,97
MCV1,1981,97
MCV1,1980,86
MCV2,,
